age,price
32,7.5
28,7
25,7
23,7
23,7
25,6.5
31,5
28,5
22,5
21,5
32,4.5
31,4.5
27,4.5
27,4.5
23,4.5
32,4
31,4
29,4
26,4
19,4
26,3.8
33,3.5
33,3.5
31,3.5
31,3.5
26,3.5
24,3.5
24,3.5
26,3.3
32,3
32,3
31,3
30,3
27,3
26,3
25,3
19,3
18,3
21,2.7
29,2.5
24,2.5
19,2.5
24,2.3
32,2.2
29,2
27,2
27,2
20,2
25,1.9
29,1.7
38,1.5
24,1.5
21,1.5
23,1.2
34,1
23,1
23,1
22,1
18,1
22,0.9
23,0.8
22,0.8
20,0.75
39,0.7
17,0.7
31,0.6
30,0.6
36,0.5
35,0.5
27,0.5
19,0.5
22,0.4
21,0.35
36,0.3
35,0.3
33,0.3
23,0.3
18,0.3
34,0.2
22,0.15
33,0.1
27,0.1
21,0.1
19,120
24,100
25,70
22,65
24,60
23,55
25,50
26,38
27,35
26,35
24,30
23,30
30,28
31,25
28,25
29,20
28,20
26,18
25,18
30,15
28,15
28,15
27,15
29,14
27,14
25,14
29,12
28,12
27,12
20,12
34,10
31,10
30,10
30,10
29,10
22,9
21,8
33,7
29,7
20,7
26,6
24,5.5
24,5.5
24,5.5
34,5
31,5
28,4.5
28,4.5
32,4
31,4
29,4
28,4
28,4
26,4
26,4
23,4
23,4
34,3.5
30,3.5
24,3.5
32,3
31,3
29,3
28,3
27,3
26,3
26,3
25,3
23,3
21,3
32,2.5
31,2.5
29,2.5
25,2.5
22,2.5
21,2.5
21,2.5
19,2.5
28,2.2
24,2.2
33,2
30,2
26,2
24,2
23,2
21,2
33,1.8
26,1.8
25,1.8
22,1.8
34,1.5
31,1.5
37,1.2
34,1.2
33,1.2
28,1.2
25,1.2
23,1.2
35,1
32,1
17,1
32,0.9
31,0.9
21,0.9
33,0.8
25,0.8
36,0.7
29,0.7
20,0.7
34,0.6
23,0.6
19,0.5
32,0.4
20,0.4
22,0.35
21,0.35
38,0.3
33,0.3
24,0.3
20,0.3
29,0.25
41,0.2
34,0.2
20,0.2
21,0.1
21,0.1
19,0.1
25,80
21,75
22,70
25,60
31,50
27,50
27,45
25,45
34,40
27,40
29,38
35,35
28,35
30,30
28,30
25,30
21,30
20,30
29,28
27,28
20,28
29,25
26,25
24,25
24,25
30,22
25,22
24,21
27,20
22,20
21,20
33,18
33,18
30,18
28,18
25,18
20,18
26,17
26,17
23,17
22,17
26,15
26,15
26,15
24,15
23,15
22,15
25,14
24,14
28,13
25,13
18,13
32,12
28,12
25,12
23,12
19,12
26,11
25,11
29,10
29,10
26,10
21,10
31,9
28,9
26,9
25,9
23,9
22,9
26,8.5
32,8
32,8
22,8
30,7.5
27,7.5
26,7
25,7
23,7
21,7
30,6.5
26,6.5
30,6
29,6
28,6
25,6
20,6
36,5
30,5
29,5
28,5
23,5
22,5
22,5
25,4.5
24,4.5
31,4
30,4
29,4
27,4
26,4
26,4
18,4
23,3.8
32,3.5
28,3.5
28,3.5
27,3.5
26,3.5
26,3.5
26,3.5
23,3.5
22,3.5
19,3.5
32,3
31,3
29,3
29,3
28,3
26,3
25,3
24,3
23,3
22,3
21,3
21,3
21,3
21,3
17,3
31,2.5
25,2.5
25,2.5
23,2.5
33,2
32,2
32,2
31,2
31,2
31,2
30,2
30,2
29,2
26,2
24,2
21,2
19,2
30,1.8
23,1.8
23,1.8
32,1.5
32,1.5
31,1.5
28,1.5
20,1.5
33,1.2
27,1.2
23,1.2
23,1.2
33,1
33,1
32,1
23,1
22,1
21,1
19,1
23,0.9
22,0.8
20,0.7
19,0.7
30,0.6
37,0.5
33,0.5
22,0.5
23,0.4
20,0.3
40,0.2
23,0.2
18,0.2
42,0.15
36,0.15
22,0.15
22,0.15
20,0.1
32,0.05
20,110
30,60
25,60
26,55
27,50
27,40
28,35
26,35
26,30
26,30
21,27
23,25
20,25
30,24
26,22
23,22
20,20
27,18
28,17
26,17
25,16
23,16
27,15
26,15
25,15
20,15
23,14
22,13
31,12
26,12
24,12
23,12
20,12
31,10
31,10
30,10
29,10
28,10
32,9
29,9
28,9
25,9
24,9
24,9
25,8.5
24,8.5
28,8
24,8
22,8
28,7.5
25,7.5
22,7.5
21,7.5
31,7
29,7
25,7
23,7
22,7
26,6.5
20,6.5
37,6
30,6
22,6
28,5
28,5
24,5
23,5
23,5
21,5
26,4.5
36,4
35,4
31,4
28,4
28,4
25,4
24,4
24,4
21,4
24,3.6
26,3.5
22,3.5
22,3.5
30,3
24,3
23,3
36,2.5
33,2.5
31,2.5
28,2.5
28,2.5
26,2.5
25,2.5
25,2.5
25,2.5
24,2.5
23,2.2
36,2
31,2
29,2
27,2
26,2
26,2
26,2
22,2
22,2
19,2
33,1.8
32,1.7
34,1.5
28,1.5
27,1.5
26,1.5
26,1.5
23,1.5
33,1.3
40,1
32,1
25,1
20,0.8
32,0.7
27,0.7
35,0.6
34,0.6
29,0.6
21,0.5
21,0.5
20,0.5
20,0.5
19,0.5
20,0.4
20,0.4
22,0.3
18,0.3
37,0.25
21,0.25
27,0.2
20,0.2
25,0.15
24,0.15
34,0.1
22,85
29,70
27,70
20,65
24,45
27,35
24,35
26,32
25,30
23,30
26,28
25,28
29,25
27,25
27,25
25,25
24,25
21,25
27,22
25,22
25,22
26,20
25,20
24,20
23,20
23,20
18,20
33,18
30,18
28,18
28,18
23,18
23,18
22,18
25,17
32,15
28,15
27,15
26,15
23,15
26,13
30,12
25,12
24,12
23,12
22,12
20,12
20,12
27,10
26,10
25,10
25,10
21,10
20,10
18,10
29,9
25,9
25,9
22,9
27,8.5
20,8.5
24,8
29,7
23,7
23,6.5
31,6
27,6
24,6
22,6
21,6
34,5
31,5
30,5
30,5
29,5
27,5
27,5
23,5
23,5
21,5
21,5
20,5
30,4.5
23,4.5
33,4
29,4
29,4
27,4
25,4
24,4
27,3.5
26,3.5
35,3
30,3
30,3
27,3
27,3
26,3
24,3
19,3
30,2.8
27,2.5
27,2.5
26,2.5
25,2.5
25,2.5
25,2.5
24,2.5
22,2.5
33,2
32,2
32,2
31,2
30,2
29,2
28,2
25,2
24,2
23,2
27,1.8
30,1.5
27,1.5
26,1.5
25,1.5
22,1.5
21,1.5
31,1.3
37,1.2
31,1.2
21,1.2
30,1
29,1
18,1
32,0.9
33,0.8
31,0.8
26,0.8
33,0.7
31,0.7
36,0.6
30,0.6
34,0.5
27,0.5
19,0.5
18,0.5
36,0.4
35,0.4
20,0.2
42,0.1
24,0.1
24,100
28,60
25,60
20,60
22,40
26,38
22,38
22,35
22,35
25,32
23,32
23,30
23,28
21,28
23,26
31,25
27,25
26,25
21,22
28,20
31,18
28,15
23,15
22,15
21,15
20,15
19,15
29,14
22,14
27,12
25,12
22,12
21,12
26,11
30,10
25,10
18,10
32,9
26,9
26,9
28,8
28,8
28,8
24,8
27,7.5
34,7
30,7
23,7
32,6.5
31,6
21,6
27,5
27,5
23,5
20,5
18,5
28,4.5
25,4.5
31,4
31,4
30,4
29,4
29,4
27,4
26,4
24,4
20,4
20,4
20,4
18,4
32,3.5
26,3.5
25,3.5
24,3.5
19,3.5
33,3
32,3
31,3
30,3
28,3
27,3
27,3
26,3
25,3
23,3
21,3
20,3
30,2.5
25,2.5
31,2
30,2
30,2
27,2
22,2
20,2
34,1.8
31,1.8
24,1.75
32,1.5
27,1.5
26,1.5
26,1.5
23,1.5
20,1.5
29,1.2
34,1
32,1
23,0.8
20,0.8
29,0.7
22,0.7
35,0.6
33,0.6
34,0.5
35,0.4
33,0.4
26,0.4
22,0.4
36,0.3
33,0.3
29,0.3
21,0.2
20,0.2
20,0.2
19,0.2
23,0.05
31,80
24,70
26,65
24,65
26,60
26,50
23,50
23,50
24,40
23,35
30,28
29,25
26,25
20,25
19,25
31,22
30,20
30,18
30,18
28,15
27,15
26,15
17,15
29,14
28,14
27,14
30,12
20,12
31,10
30,10
21,10
21,10
20,10
29,9
26,9
23,9
31,8
29,8
26,8
22,8
22,8
30,7.5
26,7.5
27,7
24,7
20,7
26,5.5
21,5
19,5
19,5
32,4.5
25,4.5
25,4.3
28,4
26,4
25,4
25,4
22,4
30,3.5
29,3.5
25,3.5
23,3.5
30,3
29,3
26,3
26,3
25,3
20,3
20,3
38,2.5
34,2.5
33,2.5
32,2.5
31,2.5
31,2.5
29,2.5
21,2.5
33,2
33,2
31,2
30,2
30,2
30,2
29,2
22,2
21,2
31,1.8
24,1.8
41,1.5
35,1.5
22,1.5
31,1.2
30,1.2
29,1.2
33,1
27,1
26,1
26,1
20,1
19,0.9
29,0.8
20,0.8
20,0.8
22,0.7
35,0.6
31,0.5
19,0.4
36,0.3
21,0.3
26,75
27,70
23,70
24,65
24,60
23,55
30,50
25,45
28,40
28,40
26,40
28,35
27,35
26,35
21,35
27,32
21,32
31,30
26,30
23,30
25,28
25,28
30,27
32,25
29,25
27,25
25,25
18,25
23,22
21,22
25,20
23,20
31,18
28,18
25,18
27,17
29,16
28,15
23,15
22,15
21,15
19,15
27,14
26,14
25,14
30,12
28,12
27,12
24,12
35,10
32,10
31,10
26,10
25,10
22,10
21,10
33,9
33,9
26,9
23,9
21,9
29,8
28,8
25,8
24,8
28,7
26,7
25,7
20,7
27,6.5
33,6
33,6
28,6
26,6
25,5.5
28,5
28,5
25,5
24,5
22,5
22,5
21,5
30,4.5
23,4.5
35,4
31,4
30,4
25,4
21,4
31,3.5
30,3.5
28,3.5
25,3.5
24,3.5
20,3.5
35,3
30,3
30,3
30,3
29,3
28,3
27,3
25,3
21,3
19,2.8
33,2.5
29,2.5
29,2.5
28,2.5
27,2.5
26,2.5
24,2.5
23,2.4
34,2
32,2
32,2
30,2
29,2
27,2
26,2
23,2
23,2
23,2
21,2
19,2
33,1.8
26,1.8
24,1.8
28,1.6
36,1.5
33,1.5
31,1.5
28,1.5
27,1.5
25,1.5
25,1.5
24,1.5
19,1.5
30,1.4
40,1
34,1
33,1
23,1
20,1
39,0.8
31,0.8
20,0.8
19,0.75
37,0.7
33,0.7
19,0.7
22,0.6
22,0.6
36,0.5
20,0.5
18,0.5
21,0.4
37,0.3
18,0.3
31,0.2
20,0.2
19,0.2
28,75
25,40
27,35
32,30
21,30
18,30
19,25
26,22
29,20
27,18
28,15
26,15
24,15
23,13
26,12
21,12
30,10
20,10
30,9
30,9
21,9
32,8
27,8
24,8
24,8
18,8
30,7
24,7
23,7
24,6
25,5
24,4.5
36,4
28,4
24,4
23,4
22,4
19,4
25,3.5
22,3.5
20,3.5
32,3
30,3
27,3
26,3
19,3
29,2.8
32,2.5
32,2.5
28,2.5
23,2.5
23,2.5
33,2
32,2
32,2
31,2
21,2
32,1.8
26,1.8
27,1.5
25,1.3
22,1.3
32,1.2
31,1.2
31,1.1
33,1
32,1
24,1
21,1
20,1
35,0.8
30,0.8
36,0.6
33,0.6
20,0.4
19,0.35
19,0.25
23,0.2
22,0.2
24,180
21,110
22,85
25,80
24,80
21,70
26,60
26,55
21,55
29,48
31,35
29,35
27,35
20,35
24,30
23,30
28,27
26,27
27,25
26,25
25,25
24,25
21,25
21,25
25,22
25,22
23,22
23,22
22,22
20,22
32,20
25,20
25,20
25,20
22,20
29,18
17,18
29,17
29,16
27,16
24,16
23,16
30,15
26,15
24,15
28,12
27,12
27,12
27,12
25,12
24,10
22,10
28,9
24,9
33,8
30,8
26,8
25,8
25,8
24,8
23,8
20,7.5
30,6.5
31,6
31,6
31,6
29,6
26,6
26,6
25,6
22,6
25,5.8
32,5
30,5
30,5
28,5
24,5
24,5
23,5
22,5
20,5
24,4
21,4
21,4
28,3.5
24,3.5
23,3.5
22,3.5
32,3
29,3
26,3
25,3
24,3
24,3
23,3
27,2.8
27,2.5
27,2.5
32,2
31,2
30,2
29,2
28,2
27,2
25,2
24,2
24,2
24,2
22,2
29,1.8
31,1.5
26,1.5
34,1.2
25,1
24,1
23,1
20,1
35,0.7
33,0.5
18,0.5
37,0.25
18,0.25
18,0.25
22,0.2
19,0.2
25,0.15
28,80
29,40
28,38
25,35
24,32
29,30
22,30
19,27
27,25
22,25
23,22
29,20
23,20
21,20
27,18
22,17
30,16
29,15
24,15
30,14
18,14
29,13
29,12
27,12
24,10
24,10
22,10
20,10
31,9
31,9
21,8.5
27,8
21,8
29,7
24,7
34,6
31,6
31,6
29,6
24,6
21,6
29,5.5
32,5
26,5
19,5
28,4.5
24,4.5
28,4
27,4
24,4
26,3.5
33,3
29,3
24,3
31,2.5
18,2.5
37,2
33,1.8
25,1.5
34,1.2
33,1.2
32,1.2
28,1
23,1
22,1
22,1
22,1
20,1
29,0.9
35,0.8
33,0.8
33,0.8
26,0.8
24,0.7
36,0.5
35,0.5
21,0.4
20,0.35
17,0.25
22,0.2
24,0.1
22,120
20,85
27,55
26,50
26,30
32,25
26,20
25,20
21,18
31,16
26,15
22,15
22,15
22,14
30,13
30,13
25,13
28,12
24,12
30,10
28,10
26,10
20,10
27,8
25,7.5
35,7
30,7
30,6
25,6
23,6
34,5
29,5
27,5
27,5
26,4.5
30,4
28,4
26,4
24,4
28,3.5
24,3.5
22,3.5
17,3.5
32,3
29,3
31,2.5
28,2.5
20,2.5
18,2.5
23,2.3
34,2
26,2
26,2
26,2
24,2
33,1.8
24,1.5
21,1.5
32,1.2
33,1
17,1
30,0.5
28,0.5
18,0.5
20,0.3
21,0.25
20,0.15
26,75
31,70
30,70
26,70
23,60
22,60
26,55
25,50
25,50
26,40
25,40
19,30
27,28
23,28
25,25
23,25
23,25
21,25
25,24
26,22
21,22
27,20
25,20
24,20
22,18
29,17
25,17
25,16
30,15
27,15
24,15
24,15
22,15
21,15
27,13
32,12
31,12
29,12
26,12
22,12
21,12
31,10
29,10
26,10
25,10
28,9
25,9
25,8.5
22,8
18,8
28,7
23,7
23,7
24,6.5
29,6
25,6
25,6
21,6
20,5.5
32,5
28,5
24,5
19,4.5
18,4.5
29,4
27,4
20,4
30,3.5
28,3.4
34,3
32,3
27,3
25,3
24,3
22,2.8
29,2.5
21,2.5
33,2.2
29,2.2
37,2
36,2
31,2
31,2
29,2
23,2
34,1.8
31,1.8
22,1.8
32,1.5
21,1.5
18,1.5
23,1.2
37,1
32,1
32,1
30,1
18,1
18,0.8
33,0.7
21,0.7
32,0.5
22,0.4
21,0.1
20,100
25,80
22,80
31,45
24,42
29,35
25,30
23,25
25,22
21,20
32,18
31,16
29,15
26,15
23,15
30,12
27,12
21,12
26,10
24,10
23,10
23,10
18,9
33,8
25,7
32,6
24,5
30,4.5
27,4
31,3.5
25,3.5
21,3
26,2.5
20,2.5
22,2
29,1.8
27,1.8
32,1.5
22,1.5
25,1
19,0.25
18,90
28,80
24,40
26,35
23,35
29,30
23,28
26,25
20,25
25,20
21,18
20,18
25,17
31,15
22,15
21,15
32,13
26,13
26,13
26,12
25,12
25,12
19,11
30,10
28,10
25,10
31,9
27,9
24,9
22,8
20,7
28,6.5
25,6
22,6
31,5
30,5
28,5
25,5
23,5
23,5
22,5
19,5
28,4
23,4
31,3
24,3
24,3
22,3
20,3
32,2.5
27,2.5
26,2.5
18,2.5
26,2
26,2
33,1.8
31,1.8
30,1.8
31,1.5
28,1.5
23,1.5
29,1.2
22,1.2
35,1
28,1
19,1
32,0.9
20,0.6
22,0.5
18,0.5
23,70
23,42
20,38
27,35
23,35
23,32
28,30
26,28
27,22
23,22
23,20
28,18
28,17
29,15
26,15
24,15
30,14
31,12
31,12
28,12
24,12
37,10
29,10
24,10
30,9
30,9
28,8
26,8
25,8
26,6
33,5
25,5
31,4
31,4
19,4
37,3
30,3
27,3
33,2.5
28,2.5
28,2
23,2
23,2
36,1.5
35,1.5
25,1.5
30,1
19,0.6
20,0.5
19,0.3
31,0.2
25,0.1
22,110
28,35
22,35
23,28
27,25
32,20
29,20
23,20
24,18
22,15
26,14
25,13
22,12
22,10
29,9
29,6
31,4
30,4
30,4
29,3.5
32,2.5
28,2.5
25,2.5
28,1.5
35,1.2
27,1.2
36,1
35,1
19,0.7
21,0.6
25,0.25
20,0.15
28,60
23,50
23,50
35,45
28,38
20,35
22,27
25,22
32,20
29,20
20,20
23,18
19,18
23,15
22,15
30,12
30,10
20,10
21,9
28,8
30,7
21,7
19,7
34,5
24,5
24,5
24,5
20,5
17,5
37,4
31,4
27,4
21,4
31,3
30,3
29,3
33,2.5
31,2.5
26,2.5
22,2.5
20,2.5
31,2.2
36,2
20,2
32,1.8
30,1.5
24,1.5
23,1.5
20,0.5
24,0.25
23,22
30,20
18,15
30,10
28,10
23,10
26,7
34,4.5
22,3
32,1.5
26,1.2
30,0.8
37,0.25
35,0.2
18,0.15
22,13
26,10
22,10
27,9
31,8
27,8
23,4.5
26,4
20,4
25,0.7
25,15
22,9
30,8
30,6
30,4.5
30,3.5
35,3
35,2.5
36,1.5
20,0.5
24,17
22,8
17,3.5
28,3
19,2
30,50
27,20
24,15
18,1
21,0.4
29,4
22,15
29,8
18,18
17,0.9
21,0.8
19,0.4
18,0.2
20,0.15
21,0.1
20,0.1
20,0.1
18,0.1
19,0.075
